EmployeeNumber,SSNValue,FirstName,LastName,DateOfBirth,HomeStreet1,HomeCity,HomeZip,HomeCountry,Organization.Code,Department.Code,Supervisor,Email,DepartmentDescription,LoginId,CostCenter,EmployeeGroup,PositionCode,PositionDescription
537732,SSN_1,FirstName_1,LastName_1,31.07.1954,Street_1,Johannesburg,2824,ZA,C1,21158973,Supervisor_1,user1@anonymous.com,DeptDescription_1,q1790481,CC_770487,indirect,19000334,Specialist: Finance
537732,SSN_2,FirstName_2,LastName_2,31.07.1954,Street_2,Sandton,1409,ZA,C1,21158973,Supervisor_2,user2@anonymous.com,DeptDescription_2,q2839607,CC_216739,indirect,1152477,Delivery Manager: Region Integration EU
609585,SSN_3,FirstName_3,LastName_3,17.08.1955,Street_3,Randburg,5506,ZA,C1,21158962,Supervisor_3,user3@anonymous.com,DeptDescription_3,q3564251,CC_126225,indirect,1296827,"Head of, IT Line Management"
609585,SSN_4,FirstName_4,LastName_4,17.08.1955,Street_4,Johannesburg,5012,ZA,C1,21158962,Supervisor_4,user4@anonymous.com,DeptDescription_4,q3684052,CC_877572,indirect,19000480,Specialist: Product Planner
582763,SSN_5,FirstName_5,LastName_5,08.01.1956,Street_5,Midrand,4657,ZA,C1,21141868,Supervisor_5,user5@anonymous.com,DeptDescription_5,q8082668,CC_388389,indirect,1134918,Contractor
582908,SSN_6,FirstName_6,LastName_6,08.01.1956,Street_6,Randburg,3286,ZA,C1,21105667,Supervisor_6,user6@anonymous.com,DeptDescription_6,q2065818,CC_356787,indirect,1138686,Contractor
582956,SSN_7,FirstName_7,LastName_7,27.09.1956,Street_7,Sandton,2679,ZA,C1,21126160,Supervisor_7,user7@anonymous.com,DeptDescription_7,q7455324,CC_334053,indirect,1134916,Contractor
521823,SSN_8,FirstName_8,LastName_8,27.09.1956,Street_8,Johannesburg,9935,ZA,C1,21105667,Supervisor_8,user8@anonymous.com,DeptDescription_8,q7402509,CC_246316,indirect,1135110,Associate
507213,SSN_9,FirstName_9,LastName_9,13.06.1957,Street_9,Midrand,2424,ZA,C1,21158964,Supervisor_9,user9@anonymous.com,DeptDescription_9,q8852574,CC_872246,indirect,1135343,Contractor
507213,SSN_10,FirstName_10,LastName_10,13.06.1957,Street_10,Sandton,7912,ZA,C1,21158964,Supervisor_10,user10@anonymous.com,DeptDescription_10,q9877065,CC_207473,direct,1134917,Contractor
582930,SSN_11,FirstName_11,LastName_11,13.09.1957,Street_11,Randburg,1520,ZA,C1,21141865,Supervisor_11,user11@anonymous.com,DeptDescription_11,q5218028,CC_809570,indirect,1135127,Specialist: Logistics Structure Planner
582748,SSN_12,FirstName_12,LastName_12,13.09.1957,Street_12,Johannesburg,1488,ZA,C1,21138509,Supervisor_12,user12@anonymous.com,DeptDescription_12,q1192619,CC_876646,indirect,1136251,"Spec., IT Agile Methods"
582977,SSN_13,FirstName_13,LastName_13,02.03.1958,Street_13,Midrand,2535,ZA,C1,21141866,Supervisor_13,user13@anonymous.com,DeptDescription_13,q2921859,CC_671858,indirect,1135310,Contractor
